dataset,model,seed,acc_final,acc_max,kappa_final,drift_events,total_steps,seen_samples,MDR,MTD,MTFA,MTR,n_detected
sea_abrupt4,ts_drift_adapt,1,0.88122,0.88122,0.7283344167814829,32,782,50000,0.0,663.0,1792.0,2.7028657616892913,32
sea_abrupt4,ts_drift_adapt,2,0.88272,0.88272,0.7287040372290603,29,782,50000,0.0,823.0,1842.6666666666667,2.238963142972864,29
sea_abrupt4,ts_drift_adapt,3,0.86416,0.86416,0.6874314731931762,32,782,50000,0.0,759.0,1746.962962962963,2.301663982823403,32
sea_abrupt4,ts_drift_adapt,4,0.87564,0.87564,0.7154023341365902,30,782,50000,0.0,935.0,1881.6,2.0124064171122993,30
sea_abrupt4,ts_drift_adapt,5,0.8688,0.8688,0.6965060263688001,32,782,50000,0.0,631.0,1782.5185185185185,2.8249104889358456,32
stagger_abrupt3,ts_drift_adapt,1,0.9394921875,0.9935396634615384,0.8734860714814798,13,800,51200,0.0,47.0,4326.4,92.05106382978722,13
stagger_abrupt3,ts_drift_adapt,2,0.927578125,0.9815204326923076,0.84736495382229,17,800,51200,0.0,79.0,3227.4285714285716,40.85352622061483,17
stagger_abrupt3,ts_drift_adapt,3,0.93484375,0.9936398237179488,0.8635217885907349,14,800,51200,0.0,47.0,3904.0,83.06382978723404,14
stagger_abrupt3,ts_drift_adapt,4,0.92806640625,0.9896834935897436,0.8483029460034217,14,800,51200,0.0,47.0,3933.090909090909,83.68278529980657,14
stagger_abrupt3,ts_drift_adapt,5,0.92970703125,0.9943409455128204,0.8516211589466752,15,800,51200,0.0,79.0,3610.6666666666665,45.70464135021097,15
